douglas@mail.com;m;c;2018-03-30;189;82.0
maria@mail.com;f;b;2018-03-30;190;85.0
pedro@mail.com;m;a;2018-03-30;175;79.0
joao@mail.com;m;f;2018-03-30;175;79.0
denis@mail.com;m;h;2018-03-30;175;79.0
rafael@mail.com;m;g;2018-03-30;175;79.0
mara@mail.com;f;i;2018-03-30;175;79.0
joana@mail.com;f;p;2018-03-30;175;79.0
helena@mail.com;f;k;2018-03-30;175;79.0
mario@mail.com;m;o;2018-03-30;175;79.0
diego@mail.com;m;n;2018-03-30;175;79.0
jonas@mail.com;m;m;2018-03-30;175;79.0
ana@mail.com;f;l;2018-03-30;175;79.0
mariano@mail.com;m;e;2018-03-30;175;79.0
danilo@mail.com;m;j;2018-03-30;175;79.0
diana@mail.com;f;d;2018-03-30;175;79.0
